,Time,Text,Sentiment
107,2019-01-09 23:59:44+00:00,"&lt;span style=""color ff;""&gt;&lt;b&gt;&lt;font face=""arial""&gt; amazon gift card&lt;/b&gt;&lt;/font&gt;&lt;/span&gt;","[10.505758474639682, 9.039025928591903, -11.696679233304835]"
108,2019-01-09 23:59:35+00:00,if have young children one a first generation ipad check the inndise headrest mount via amazon,"[28.785939989755338, 16.82507985532375, 0.7711462109674301]"
109,2019-01-09 23:59:35+00:00,available kindle unlimited kindle owners lending library jmsbcayanan amazon kindleunlimited kindleownerslendinglibrary kindle ebook,"[85.90959839983388, 57.02478166386749, -9.342897694953095]"
110,2019-01-10 23:59:58+00:00,spencenicholson on amazon prime whenever you’ve got minutes lying around,"[18.51742330109455, 9.03416252051538, -11.113799463254878]"
112,2019-01-10 23:59:57+00:00,online retail giant amazon unveiled ‘key for garage’ by which it will soon deliver packages right in your garage,"[63.128982749051666, 51.44888016543334, -9.13918249907762]"
113,2019-01-10 23:59:54+00:00,evolution of a sad woman mystery suspense thriller romance available right at amazon australia gl sydney,"[37.34865256345439, 73.6004365141479, -11.735934643838277]"
114,2019-01-10 23:59:54+00:00,report amazon double on gaming a new streaming service,"[28.501537769999462, 8.426243923603081, -10.451648174022026]"
115,2019-01-10 23:59:52+00:00,i love amazon prime.. i’m never grocery shopping,"[19.922545258216513, 16.56528053519969, -12.20043596947201]"
116,2019-01-10 23:59:49+00:00,crypto bitlord or bankrupt. years...??? this t apple amazon,"[17.271156385638495, -1.9066311356710917, -11.146423904146936]"
117,2019-01-10 23:59:46+00:00,trump now claiming jeff bezos wife going pay the wall. jeffbezos buildthewall amazon trump mexico,"[18.542374006733557, 10.326160124780493, -11.137320618632714]"
118,2019-01-10 23:59:46+00:00,amazon developing new game streaming service compete microsoft google,"[29.511058401346272, 18.103786529072103, -10.425832805880141]"
119,2019-01-10 23:59:43+00:00,here what i want nycmayor this state of the city him keep promise demand amazon end support ice. noamazonnyc fairestbigcity,"[16.02890082919703, 29.270746261081328, 1.3308095919891514]"
120,2019-01-10 23:59:41+00:00,tcuwhitetrash she married before amazon,"[8.38353484216606, -2.055997363753655, -11.233324261466436]"
121,2019-01-11 23:59:54+00:00,hey guys like post enter amazon gift card giveaway,"[38.13294686257989, 27.958940624127386, -10.291944188108744]"
123,2019-01-11 23:59:52+00:00,interesting amazon bezos business entrepreneur businessdevelopment empire worldnews,"[20.42788560917249, 16.899255458451524, -12.344300511838306]"
124,2019-01-11 23:59:50+00:00,"compadreruelas splusav austinnotduncan lgus i watch k netflix, amazon prime also some k content. my ps k. there’s plenty content there those want it.","[37.13842403241102, 47.39319326078321, -9.083942363960105]"
125,2019-01-11 23:59:46+00:00,"win signed paperback an amazon giftcard award winning author, suanne laqueur","[43.978248560713595, 31.641001991215113, -10.809143750991687]"
126,2019-01-11 23:59:46+00:00,"we’re grown ups dropdeadfred prints etsy/amazon, apparel redbubble, designbyhumans, rageonofficial &amp; teepublic all links , clickable link my instagram…","[43.678007164644114, 51.99673030468553, -9.737002251132282]"
127,2019-01-11 23:59:45+00:00,twitchprime pls help......all allows click “try twitch prime” i don’t want to try since i amazon prime already,"[35.87717228107091, 20.04087373088195, -9.953752145583607]"
128,2019-01-11 23:59:36+00:00,i entered free competition win amazon tv stick wishmeluck hopeiwin,"[21.392327417983896, 9.855339341315698, -11.538409609045388]"
129,2019-01-11 23:59:35+00:00,my dad almost gave a heart attack. he facetimed said i getting bold amazon and i thought saw browser history full vibrators,"[28.543050715523822, 30.939109150962764, 1.7969532546802185]"
130,2019-01-11 23:59:33+00:00,shackleshotgun beard grizzly i’m a fan todd. i ordered skyrim the amazon alexa like six months ago still haven’t received,"[48.97290247541611, 30.388109431186365, -10.30949987062587]"
131,2019-01-11 23:59:33+00:00,"mary ligialeea cher bad illegals come in thru canada &amp; on planes, don walkin the clothes their backs seeking asylum which is illegal. immigration the lowest history, immigrants pay more taxes than rump, google, amazon, microsoft, apple &amp; all big business who pay ""no taxes""","[55.860801890575395, 68.22249315350639, 3.8582772445139]"
132,2019-01-12 23:59:58+00:00,enter win free amazon gift card medvive tens unit,"[31.592944815137006, 19.087060654194723, -11.704088767478197]"
134,2019-01-12 23:59:55+00:00,win signed paperback amazon giftcard bestselling author rebecca main,"[31.115618482055556, 19.1857111695157, -11.225449960929197]"
135,2019-01-12 23:59:50+00:00,amazon ceo jeff bezos month affair married woman,"[10.663970326285213, 9.24986959125738, -11.943115536169039]"
136,2019-01-12 23:59:47+00:00,"oooh. i set allowances amazon the kids. do that, autodeposit allowance bank accounts them? i really t want futz cash anymore, with the stuff available online.","[69.2849499117882, 37.77772775175991, -9.451544345150168]"
137,2019-01-12 23:59:41+00:00,"listening basement blues sidney bechet, amazon prime music","[33.3316000400166, 11.443609464243693, -12.20631540063144]"
138,2019-01-12 23:59:40+00:00,i dollars worth amazon gift cards i don’t know what to buy,"[18.04487039341723, 16.639964963355354, -11.269258354560364]"
