,Time,Text,Sentiment
153,2019-01-13 23:58:59+00:00,now playing sym rudie im on it dl app google play &amp; ios apart the movement also tune in live fri &amp; sat pm am,"[11.0232132783995, 24.97346720429333, -8.79464894547634]"
154,2019-01-14 23:59:59+00:00,google fi users now use rcs messages,"[18.049934259928282, 17.159081668664996, -9.743728489131982]"
156,2019-01-14 23:59:57+00:00,kingfalcon trepound you that smart. go google,"[-1.0027922263942302, 8.054598112974631, 0.9778535433552129]"
157,2019-01-14 23:59:55+00:00,"curtis kaiju no, i suggest google image search. think i found on pinterest.","[5.127288171816855, 15.895540293878426, -9.851446638977542]"
158,2019-01-14 23:59:54+00:00,arcadiayeg dandyalesyyc abbeerguide darren. change google maps website info reflect closed mondays p say you are still open mondays,"[17.22711215510707, 32.40408825868627, -9.759851763648044]"
159,2019-01-14 23:59:54+00:00,check out bladebound hack n slash rpg free google play app store enter referral code vkod receive gems free bonus vbucks gems rpgアツマール rpg game mobileapp fight adventure android iphone,"[135.62068640381005, 133.76532308954395, -6.066712435681453]"
160,2019-01-14 23:59:51+00:00,"drmikesonne google podcasts... first ew, second who knew existed","[9.54049139538731, 7.361175258116496, -10.44875415296184]"
161,2019-01-14 23:59:49+00:00,google that little green checkmark mean you do not need to check the connection to play the episode.,"[8.83300113357183, 22.74986246512796, -8.976253792964215]"
162,2019-01-14 23:59:46+00:00,google workers have new plan fight forced arbitration via gizmodo,"[47.03816812217803, 7.074079777527707, -11.016190596601533]"
163,2019-01-14 23:59:45+00:00,henningdekant tysparks qb net google we announced integrated quantum computing system last september ¯\ ツ /¯ users sign for access our website,"[80.33623125292718, 42.01451377865321, -8.939683946574846]"
164,2019-01-14 23:59:44+00:00,nypsx omg love google,"[0.12238279978031197, -4.7252305712366365, -12.624497843214918]"
165,2019-01-15 23:59:59+00:00,hey google? play extreme metal workout.,"[19.925004740695655, 9.735407962903551, -10.85888094334527]"
167,2019-01-15 23:59:59+00:00,"moscowlilac hey there, thanks reaching out. you listen different news sources your google home. have look this link how listen news","[22.7827405609971, -0.9973892696776407, -10.926271704179342]"
168,2019-01-15 23:59:57+00:00,. . . . . ight i a little google search &amp; im still uncertain .,"[19.139992674266626, 22.660147296905365, -11.519637337437445]"
169,2019-01-15 23:59:53+00:00,kingpac google it,"[-1.8587840728140865, -2.7082595079413676, -11.201921667506877]"
170,2019-01-15 23:59:49+00:00,"big thank colinrankinedu coming our classroom today teach us tips tricks using ipads reading writing tasks, well how to use google read &amp; write littlefallsps","[13.634943315713503, 26.73630941324936, -9.189859181655592]"
171,2019-01-15 23:59:48+00:00,i to google synchronicities first i like thought,"[-3.698788806779258, -3.472943275419724, -10.847958096097905]"
172,2019-01-15 23:59:42+00:00,robertoblake please also ... a video talking how could affected google shutting some s services as googleplus would great but if have time that.,"[6.6005068147427055, 6.32310100061828, -9.625698266685063]"
173,2019-01-15 23:59:37+00:00,"wkamaubell trump again figured how google news social media time clicks. if i gmom one these players, i would organize a hometown pot luck contributed by the fine restaurants town honor accomplishment.","[73.51426141477815, 87.30627338879579, -8.808873534804476]"
174,2019-01-15 23:59:32+00:00,x shrp sopheerarblx google isn’t always accurate though.,"[-1.735500789373247, -4.702469085346781, -10.93514407588654]"
175,2019-01-15 23:59:32+00:00,blackbeard scottishjenbel is any published data? you use google scholar search publications,"[17.821512385575137, 16.50132856633853, -9.760758342084529]"
176,2019-01-16 23:59:59+00:00,"oraeekene jajaphd just like the big us companies extensions the us government. microsoft google currently working militarizing ai tech the behest the us government. so shouldn a chinese coy ""help"" s govt the govt asked ""nicely""?","[90.280812839532, 70.09448082224785, -7.006170537318283]"
178,2019-01-16 23:59:55+00:00,xoxojesss damn this point dont even think remember but ill google my old ones to see lol,"[-11.627534529934717, -6.866761046240768, -9.383431612441626]"
179,2019-01-16 23:59:52+00:00,direttiva copyright | europe for creators vs google per contrastare il lobbying,"[39.86713540075372, 28.829610553985624, -9.771718869748526]"
180,2019-01-16 23:59:48+00:00,bluesapper ainefromderry ps. would learn loads you worked how use google slán abhaile x,"[6.146551646716849, 2.3807958201962687, -9.439303417457126]"
181,2019-01-16 23:59:44+00:00,computer expert brad parscale condemns google manual manipulation search results further pro democrat radical leftist agenda.,"[52.3794171694836, 64.20107992318763, -9.77531330270979]"
182,2019-01-16 23:59:43+00:00,"google play starts manually whitelisting sms, phone apps","[16.830829332557958, 18.438778179401496, -10.037011835603991]"
183,2019-01-16 23:59:41+00:00,"wesamiibo punk bat i find summer camp within seconds, point earth from any zoom level google earth","[27.01752522997113, 47.127680174607804, -9.739739714826783]"
184,2019-01-16 23:59:40+00:00,it on google play music i listen it,"[-4.672715779410953, -4.693748362188465, -10.578529605063338]"
185,2019-01-16 23:59:40+00:00,how speed your website increase google ranking,"[20.220882494494585, 19.013722067942503, -10.291815849406923]"
186,2019-01-16 23:59:40+00:00,wendymajestic speakerpelosi i found on google. ;,"[8.813441315603939, 8.118373489193203, -10.461750353853652]"
